#separator:tab
#html:false
# TOCFL Band A · Level 1 · 入門級 (A1)
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
啊	ā	ah, an exclamation
愛	ài	to love
安靜	ān jìng	to be quiet, calm, peaceful
吧	ba	question particle, implying probability/sentence suffix, indicating a request
八	bā	eight
把	bǎ	indicating pre-verbal object as thing dealt with by the action
爸爸	bà ba	father
百	bǎi	hundred
百貨公司	bǎi huò gōng sī	department store
白色	bái sè	white
班	bān	measure word for a group of organized people
班	bān	class
搬	bān	to move
半	bàn	half
幫	bāng	to help, to assist
辦公室	bàng ō n g shì	office
棒球	bàng qiú	baseball
包子	bāo zi	steamed stuffed bun
報紙	bào zhǐ	newspaper
杯	bēi	a cup of
被	bèi	a passive voice indicator
北(邊)	běi biān	north
杯子	bēi zi	cup, glass
本	běn	individual measure word for books or magazines etc
本子	běn zi	book, notebook, edition
比	bǐ	to compare; compared to, than
筆	bǐ	pen
別的	bié de	some other, an additional or a different one
比較	bǐ jiào	comparatively
比賽	bǐ sài	competition, contest, match
比賽	bǐ sài	to compete in a game/activity/match
不客氣	bù kè qì	you're welcome
不	bù	don't
不好意思	bù hǎo yì sī	to feel embarrassed; to be ill at ease
才	cái	indicate that an action happened later than expacted
菜	cài	food, cuisine
參加	cān jiā	to attend, to participate, to take part in
餐廳	cān tīng fàng u ǎn ér	restaurant
茶	chá	tea
長	cháng	to be long, not short
常常	cháng cháng	often, usually, generally
唱歌(兒)	chàng gē ér	sing
吵	chǎo	to make a noise, to disturb, to quarrel/to be noisy
車(子)	chē zi	car, vehicle
車站	chē zhàn	station
成績	chéng jī	grade (at school), academic record, achievement
吃	chī	to eat
吃飽	chī bǎo	satiate; full
吃飯	chī fàn	to eat, to have a meal
穿	chuān	to wear, to put on
船(兒)	chuán ér	ship, boat
窗	chuāng	window
床	chuáng	bed
廚房	chú fáng	kitchen
出國	chū guó	go abroad (from one's own country)
出來	chū lái	to come out
出去	chū qù	to go out, to leave
春天	chūn tiān	spring, springtime
次	cì	measure word for the number of repetitions in a given period of time
從	cóng	from
錯	cuò	to be wrong
打	dǎ	to hit, to beat, to strike
打電話	dǎ diàn huà	make a telephone call
打開	dǎ kāi	to open up
大	dà	to be big, to be large
大家	dà jiā	everyone
大樓	dà lóu	multi-storied building
蛋糕	dàng āo	cake
當然	dāng rán	certainly, of course
到	dào	①to reach, to arrive; ②up to
大學	dà xué	university
的	de	possessive or modifying particle
得	dé	a particle used between a verb or adjective and its complement to indicate manner or degree
等	děng	to wait
第	dì	a prefix for ordinal numbers
點(鐘)	diǎn zhōng	o'clock
電話	diàn huà	telephone, call
電腦	diàn nǎo	computer
電視(機)	diàn shì jī	television set
電影	diàn yǐng	movie
電影院	diàn yǐng yuàn	cinema, movie(house)
弟弟	dì dì	younger brother
地方	dì fāng	location, place
地上	dì shàng	on the ground, floor
地圖	dì tú	map
東(邊)	dōng biān	east
冬天	dōng tiān	winter, wintertime
東西	dōng xī	thing
懂	dǒng	to understand
都	dōu	all, both
對	duì	to be correct, right
對不起	duì bù qǐ	I'm sorry; excuse me
對面	duì miàn	the other side, place across from
多	duō	more than required
多	duō	many, much, more
多少	duō shǎo	how much, how many
肚子	dù zǐ	stomach, belly, abdomen
餓	è	to be hungry
二	èr	two
兒子	ér zi	son
飯	fàn	food, meal, rice
放	fàng	to put
方便	fāng biàn	to be convenient
房間	fáng jiān	room
房子	fáng zi	house
非常	fēi cháng	very, extremely
飛機	fēi jī	airplane
(飛)機場	fēi jī chǎng	airport
分(鐘)	fēn zhōng	minute
封	fēng	measure word for letters, telegrams etc
風	fēng	wind
風景	fēng jǐng	scenery, landscape
附近	fù jìn	nearby
乾淨	gān jìng	to be clean
感冒	gǎn mào	to have a cold; cold, flu
高	gāo	to be tall, to be high
高興	gāo xìng	to be happy
告訴	gào sù	to tell, to inform
個	gè	individual measure word for persons and material things
哥哥	gē gē	elder brother
給	gěi	to give
跟	gēn	and
更	gèng	even more, still more
公共汽車(公車)	gōng gòng qì chē gōng chē	bus
功課	gōng kè	schoolwork, homework
公司	gōng sī	company
公寓	gōng yù	apartment building
公園	gōng yuán	park
工作	gōng zuò	work
狗	gǒu	dog
關	guān	to close, to shut; to turn off
貴	guì	to be expensive
過	guò	a suffix indicating completion of an action, or completion of an action as an experience
過	guò	to pass
國家	guó jiā	nation, country
孩子	hái zi	child
海邊	hǎi biān	seaside, beach
還是	hái shì	or
寒假	hán jià	winter vacation
好	hǎo	very, quite
好	hǎo	to be good
好吃	hǎo chī	to be fond of eating
好像	hǎo xiàng	to seem, to be likely, to be like
好玩(兒)	hǎo wán ér	to be interesting, to be full of fun
號	hào	measure word for numbers and dates
號碼	hào mǎ	number
喝	hē	to drink
和	hé	and
很	hěn	very, quite
紅色	hóng sè	red
後(面)	hòu miàn	back, behind
花(兒)	huā ér	flower
畫	huà	drawings, pictures
畫(畫)	huà huà	to draw(picture)
壞	huài	to be bad
換	huàn	to change
黃色	huáng sè	yellow
歡迎	huān yíng	to welcome
華語	Huá yǔ Huá wén	Chinese language
回家	huí jiā	to return home
回來	huí lái	to come back
回去	huí qù	to go back
會	huì	can, to be able to, to be good at, to be skillful in
活動	huó dòng	activity
火車	huǒ chē	train
幾	jǐ	a few, several; how many
寄	jì	to mail
加	jiā	to add to
家	jiā	home, family
家人	jiā rén	family members
間	jiān	container measure word for houses or other buildings
